,pathway_id,pathway_names,Association,cum_timepoint_importance,cum_timepoint_numtrees
property_100_12,ko00523,Polyketide sugar unit biosynthesis,"['UC', 'CD']",0.873383107335868,16.0
property_100_77,ko00310,Lysine degradation,['HC'],0.8430222663850528,-6.0
property_100_76,ko00591,Linoleic acid metabolism,['HC'],0.8396829627276182,-12.0
property_100_44,ko00332,Carbapenem biosynthesis,"['UC', 'CD']",0.7371376984687009,12.0
property_100_61,ko00625,Chloroalkane and chloroalkene degradation,['HC'],0.6337890112522158,-9.0
property_100_8,ko00626,Naphthalene degradation,['HC'],0.5244792978694526,-12.0
property_100_28,ko02026,Biofilm formation - Escherichia coli,['HC'],0.4721130348289729,-4.0
property_100_57,ko00540,Lipopolysaccharide biosynthesis,['HC'],0.4571291412339345,-10.0
property_100_27,ko00998,Biosynthesis of secondary metabolites - other antibiotics,"['UC', 'CD']",0.4429295031818433,11.0
property_100_93,ko00480,Glutathione metabolism,"['UC', 'CD']",0.4398028134429177,6.0
property_100_39,ko00020,Citrate cycle (TCA cycle),['HC'],0.4185072363976687,-5.0
property_100_66,ko05150,Staphylococcus aureus infection,"['UC', 'CD']",0.38895352613964396,11.0
property_100_89,ko00600,Sphingolipid metabolism,['HC'],0.38493664274719236,-12.0
property_100_18,ko00525,Acarbose and validamycin biosynthesis,"['UC', 'CD']",0.35062827929349527,5.0
property_100_52,ko00600,Sphingolipid metabolism,['HC'],0.3443027781708671,-11.0
property_100_3,ko02026,Biofilm formation - Escherichia coli,['HC'],0.3389348506618717,-13.0
property_100_87,ko00540,Lipopolysaccharide biosynthesis,"['UC', 'CD']",0.3347134354716326,13.0
property_100_17,ko00565,Ether lipid metabolism,"['UC', 'CD']",0.30546239408095077,2.0
property_100_67,ko00627,Aminobenzoate degradation,['HC'],0.30108290125612386,-6.0
property_100_22,ko00592,alpha-Linolenic acid metabolism,"['UC', 'CD']",0.26895498267814566,9.0
property_100_34,ko00999,Biosynthesis of secondary metabolites - unclassified,"['UC', 'CD']",0.254282889150668,14.0
property_100_68,ko00281,Geraniol degradation,"['UC', 'CD']",0.25426219380712745,4.0
property_100_82,ko00999,Biosynthesis of secondary metabolites - unclassified,['HC'],0.25033705267076667,-6.0
property_100_46,ko00361,Chlorocyclohexane and chlorobenzene degradation,['HC'],0.2486207866771411,-9.0
property_100_72,ko03450,Non-homologous end-joining,"['UC', 'CD']",0.24295178879940732,4.0
property_100_83,ko02025,Biofilm formation - Pseudomonas aeruginosa,NA,0.24207080271187087,0.0
property_100_23,ko00999,Biosynthesis of secondary metabolites - unclassified,['HC'],0.24169459515611214,-14.0
property_100_26,ko00514,Other types of O-glycan biosynthesis,['HC'],0.23495041970332706,-2.0
property_100_80,ko02026,Biofilm formation - Escherichia coli,"['UC', 'CD']",0.23184064483124237,5.0
property_100_90,ko00514,Other types of O-glycan biosynthesis,['HC'],0.21813889823298818,-1.0
property_100_96,ko02060,Phosphotransferase system (PTS),"['UC', 'CD']",0.2033269304033244,1.0
property_100_20,ko00621,Dioxin degradation,['HC'],0.20317375240368818,-20.0
property_100_13,ko00071,Fatty acid degradation,['HC'],0.19625820804031258,-10.0
property_100_64,ko05150,Staphylococcus aureus infection,"['UC', 'CD']",0.1939148295335474,4.0
property_100_32,ko02060,Phosphotransferase system (PTS),['HC'],0.188900452824935,-5.0
property_100_51,ko00984,Steroid degradation,['HC'],0.1839447765344712,-4.0
property_100_24,ko00514,Other types of O-glycan biosynthesis,"['UC', 'CD']",0.18328106170849573,4.0
property_100_47,ko00565,Ether lipid metabolism,"['UC', 'CD']",0.1820783016930126,2.0
property_100_75,ko00020,Citrate cycle (TCA cycle),"['UC', 'CD']",0.17634498822648462,2.0
property_100_60,ko02025,Biofilm formation - Pseudomonas aeruginosa,"['UC', 'CD']",0.17612814837544608,4.0
property_100_56,ko03450,Non-homologous end-joining,"['UC', 'CD']",0.17077433928560234,3.0
